Site,Code,Species,Season,Lake,System,System2,Strata,Zone,d13C,d15N,C,N,C.N,d34S,S,Biomass,Latitude,Longitude
61,11/10/21-ALG-MI-61,Microalgae,Wet,Middle Lake,McCormick Creek System,McCormick Creek System,,Middle,-24.04,2.48,12.49,1.35,9.251851852,-1.9,1.69,0.3202,-80.73227537,25.1825992
62,11/10/21-ALG-MI-62,Microalgae,Wet,Middle Lake,McCormick Creek System,McCormick Creek System,,Middle,-24.29,2.6,7.71,0.86,8.965116279,-10.3,1.78,0.5254,-80.73329107,25.17902417
63,11/10/21-ALG-MO-63,Microalgae,Wet,Monroe Lake,McCormick Creek System,McCormick Creek System,,Downstream,-25.93,3.12,13.76,1.71,8.046783626,7.3,1.62,2.899,-80.74303961,25.18166491
64,11/10/21-ALG-MO-64,Microalgae,Wet,Monroe Lake,McCormick Creek System,McCormick Creek System,,Downstream,-26.32,3.53,13.25,2.09,6.339712919,6.7,1.24,0.7446,-80.74646378,25.17579064
65,11/10/21-ALG-MO-65,Microalgae,Wet,Monroe Lake,McCormick Creek System,McCormick Creek System,,Downstream,-24.93,3.56,15.68,1.86,8.430107527,4.5,1.53,1.4401,-80.74134466,25.16976624
66,11/10/21-ALG-TB-66,Microalgae,Wet,Terrapin Bay,McCormick Creek System,Terrapin Bay,,Bay,-22.98,4.18,6.79,0.82,8.280487805,-7.4,1.85,1.604,-80.72487618,25.16202773
67,11/10/21-ALG-TB-67,Microalgae,Wet,Terrapin Bay,McCormick Creek System,Terrapin Bay,,Bay,-22.08,4.03,9.45,0.94,10.05319149,,,0.7,-80.73264462,25.15789269
68,11/10/21-ALG-TB-68,Microalgae,Wet,Terrapin Bay,McCormick Creek System,Terrapin Bay,,Bay,-23.48,2.58,9.07,0.96,9.447916667,1.7,0.98,0.7157,-80.7422088,25.1540952
69,11/10/21-ALG-TB-69,Microalgae,Wet,Terrapin Bay,McCormick Creek System,Terrapin Bay,,Bay,-20.85,4.16,6.23,0.76,8.197368421,,,0.8437,-80.72987078,25.15371066
70,11/10/21-ALG-TB-70,Microalgae,Wet,Terrapin Bay,McCormick Creek System,Terrapin Bay,,Bay,-18.57,5.18,7.05,0.69,10.2173913,,,2.5269,-80.71582029,25.15377866
71,11/10/21-ALG-TB-71,Microalgae,Wet,Terrapin Bay,McCormick Creek System,Terrapin Bay,,Bay,-20.01,4.08,5.61,0.69,8.130434783,,,5.5856,-80.72585,25.1519
72,11/10/21-ALG-TB-72,Microalgae,Wet,Terrapin Bay,McCormick Creek System,Terrapin Bay,,Bay,-19.36,4.87,8.18,1.01,8.099009901,2.3,1.2,2.2882,-80.71649573,25.14546266
73,11/10/21-ALG-SC-73,Microalgae,Wet,Shark Chickee,Shark Chickee,Shark Chickee,,Shark Chickee,-16.47,2.54,5.21,0.68,7.661764706,,,2.0928,-80.80269361,25.14138568
75,11/10/21-ALG-SC-75,Microalgae,Wet,Shark Chickee,Shark Chickee,Shark Chickee,,Shark Chickee,-17.16,2.89,6.11,0.78,7.833333333,,,6.4998,-80.80241819,25.14141445
76,11/8/21-ALG-SC-76,Microalgae,Wet,Shark Chickee,Shark Chickee,Shark Chickee,,Shark Chickee,-18.15,2.99,5.87,0.85,6.905882353,,,4.4814,-80.80284026,25.14107559
77,12/2/21-ALG-CU-77#2,Microalgae,Wet,Cuthbert Groundwater,Alligator Creek System,Alligator Creek System,,Upstream,-25.53,2.73,18.44,1.98,9.313131313,,,0.6285,-80.76728,25.20412
78,11/9/21-ALG-CU-78,Microalgae,Wet,Cuthbert Groundwater,Alligator Creek System,Alligator Creek System,,Upstream,-24.91,3.05,18.21,2.06,8.839805825,,,1.45,-80.76735,25.20445
79,11/8/21-ALG-WL-79,Microalgae,Wet,West Lake Bathroom,Alligator Creek System,Alligator Creek System,,Upstream,-24.98,3.43,13.35,1.43,9.335664336,,,2.1657,-80.85022,25.21468
80,11/8/21-ALG-WL-80,Microalgae,Wet,West Lake Bathroom,Alligator Creek System,Alligator Creek System,,Upstream,-24.99,3.5,13.17,1.4,9.407142857,,,1.4599,-80.85023,25.21461
