Site,Code,Species,Season,Lake,System,System2,Strata,Zone,d13C,d15N,C,N,C.N,d34S,S,Biomass,Latitude,Longitude
32,5/9/22-ALG-CU-32,Microalgae,Dry,Cuthbert Rookery,Alligator Creek System,Alligator Creek System,,Upstream,-24.01,3.15,15.49,1.53,10.12418301,NA,NA,3.386,-80.7740655,25.20994538
33,12/21/21-ALG-CU-33#2,Microalgae,Wet,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-25.18,3.47,13.79,1.79,7.703910615,NA,NA,0.1864,-80.78520595,25.20497064
33,5/9/22-ALG-CU-33,Microalgae,Dry,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-24.2,3.58,11.39,1.62,7.030864198,NA,NA,0.0526,-80.78520595,25.20497064
34,12/2/21-ALG-CU-34#2,Microalgae,Wet,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-25.09,4.65,9.36,1.4,6.685714286,5.1,2.18,0.0361,-80.7789951,25.20092749
34,5/9/22-ALG-CU-34,Microalgae,Dry,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-24.64,2.81,16.88,1.97,8.568527919,14,1.8,0.4867,-80.7789951,25.20092749
35,12/2/21-ALG-CU-35#2,Microalgae,Wet,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-25.15,4.13,11.84,1.73,6.843930636,NA,NA,0.0431,-80.77300269,25.20308434
35,5/9/22-ALG-CU-35,Microalgae,Dry,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-24.59,3.07,11.68,1.62,7.209876543,NA,NA,0.1887,-80.77300269,25.20308434
36,12/2/21-ALG-CU-36#2,Microalgae,Wet,Cuthbert Groundwater,Alligator Creek System,Alligator Creek System,,Upstream,-25.43,2.92,14.55,1.91,7.617801047,6.8,1.93,0.5783,-80.76756,25.20419
36,5/9/22-ALG-CU-36,Microalgae,Dry,Cuthbert Groundwater,Alligator Creek System,Alligator Creek System,,Upstream,-24.9,3.11,12.89,1.83,7.043715847,11.6,1.24,0.3382,-80.76756,25.20419
37,11/8/21-ALG-LL-37,Microalgae,Wet,Long Lake,Alligator Creek System,Alligator Creek System,,Middle,-25.27,3.7,12.22,1.58,7.734177215,1.6,1.86,2.9529,-80.79532615,25.19828574
37,5/9/22-ALG-LL-37,Microalgae,Dry,Long Lake,Alligator Creek System,Alligator Creek System,,Middle ,-24.39,2.64,10.64,1.34,7.940298507,1.7,1.48,2.3814,-80.79532615,25.19828574
38,11/8/21-ALG-LL-38,Microalgae,Wet,Long Lake,Alligator Creek System,Alligator Creek System,,Middle,-24.9,3.79,12.78,1.97,6.487309645,2.7,1.58,1.8326,-80.78867816,25.19535681
38,5/9/22-ALG-LL-38,Microalgae,Dry,Long Lake,Alligator Creek System,Alligator Creek System,,Middle ,-24.32,2.77,10.37,1.37,7.569343066,4,1.87,2.9162,-80.78867816,25.19535681
39,11/8/21-ALG-LL-39,Microalgae,Wet,Long Lake,Alligator Creek System,Alligator Creek System,,Middle,-23.85,2.16,15.49,2.14,7.238317757,6.3,1.98,2.6072,-80.77456057,25.18989593
39,5/9/22-ALG-LL-39,Microalgae,Dry,Long Lake,Alligator Creek System,Alligator Creek System,,Middle ,-22.48,1.94,12.89,1.67,7.718562874,1.1,1.21,2.4841,-80.77456057,25.18989593
40,11/8/21-ALG-LU-40,Microalgae,Wet,The Lungs,Alligator Creek System,Alligator Creek System,,Downstream,-25.31,2.98,12.98,1.82,7.131868132,1.9,1.26,5.9009,-80.77512156,25.17457251
40,5/9/22-ALG-LU-40,Microalgae,Dry,The Lungs,Alligator Creek System,Alligator Creek System,,Downstream,-22.65,2.55,7.25,1.02,7.107843137,-1.1,1.01,5.6363,-80.77512156,25.17457251
41,11/8/21-ALG-LU-41,Microalgae,Wet,The Lungs,Alligator Creek System,Alligator Creek System,,Downstream,-24.08,2.44,8.67,1.2,7.225,1.2,1.37,2.5308,-80.76455375,25.17288717
41,5/9/22-ALG-LU-41,Microalgae,Dry,The Lungs,Alligator Creek System,Alligator Creek System,,Downstream,-22.8,2.34,5.56,0.84,6.619047619,3.5,0.91,0.9719,-80.76455375,25.17288717
42,11/8/21-ALG-LU-42,Microalgae,Wet,The Lungs,Alligator Creek System,Alligator Creek System,,Downstream,-24.61,2.49,10.59,1.36,7.786764706,0.4,1.12,1.3558,-80.76938104,25.1705475
42,5/4/22-ALG-LU-42,Microalgae,Dry,The Lungs,Alligator Creek System,Alligator Creek System,,Downstream,-22.47,2.33,4.82,0.75,6.426666667,0.5,0.77,0.3613,-80.76938104,25.1705475
43,5/4/22-ALG-GB-43,Microalgae,Dry,Garfield Bight,Alligator Creek System,Garfield Bight,,Bay,-18.89,2.74,4.53,0.62,7.306451613,NA,NA,5.6828,-80.79588681,25.17547484
44,11/8/21-ALG-GB-44,Microalgae,Wet,Garfield Bight,Alligator Creek System,Garfield Bight,,Bay,-22.64,3.5,9.87,1.46,6.760273973,2.9,1.29,4.8715,-80.80391179,25.17568679
44,5/4/22-ALG-GB-44,Microalgae,Dry,Garfield Bight,Alligator Creek System,Garfield Bight,,Bay,-17.94,2.44,4.32,0.59,7.322033898,1.5,1.04,7.6393,-80.80391179,25.17568679
45,11/10/21-ALG-GB-45,Microalgae,Wet,Garfield Bight,Alligator Creek System,Garfield Bight,,Bay,-19.26,2.61,7.39,0.86,8.593023256,NA,NA,5.602,-80.79908454,25.16861982
45,5/11/22-ALG-GB-45,Microalgae,Dry,Garfield Bight,Alligator Creek System,Garfield Bight,,Bay,-16.3,3.98,7.04,0.95,7.410526316,NA,NA,6.1039,-80.79908454,25.16861982
46,11/10/21-ALG-GB-46,Microalgae,Wet,Garfield Bight,Alligator Creek System,Garfield Bight,,Bay,-17.78,2.6,9.72,1.21,8.033057851,NA,NA,0.3795,-80.80958331,25.16508427
46,5/11/22-ALG-GB-46,Microalgae,Dry,Garfield Bight,Alligator Creek System,Garfield Bight,,Bay,-15.55,3.14,8.18,0.91,8.989010989,NA,NA,2.515,-80.80958331,25.16508427
47,11/10/21-ALG-GB-47,Microalgae,Wet,Garfield Bight,Alligator Creek System,Garfield Bight,,Bay,-16.13,3.08,8.94,1.04,8.596153846,5,0.98,0.2986,-80.81103676,25.16067739
47,5/11/22-ALG-GB-47,Microalgae,Dry,Garfield Bight,Alligator Creek System,Garfield Bight,,Bay,-16.69,2.95,6.51,0.78,8.346153846,2.4,0.89,19.5914,-80.81103676,25.16067739
48,11/10/21-ALG-GB-48,Microalgae,Wet,Garfield Bight,Alligator Creek System,Garfield Bight,,Bay,-17.52,3.11,6.98,0.96,7.270833333,NA,NA,1.6019,-80.81293645,25.15865979
48,5/11/22-ALG-GB-48,Microalgae,Dry,Garfield Bight,Alligator Creek System,Garfield Bight,,Bay,-16.6,3.04,5.24,0.69,7.594202899,NA,NA,8.02,-80.81293645,25.15865979
49,11/10/21-ALG-GB-49,Microalgae,Wet,Garfield Bight,Alligator Creek System,Garfield Bight,,Bay,-16.98,2.96,6.13,0.77,7.961038961,-1.4,1.11,9.7163,-80.80514128,25.15227513
49,5/11/22-ALG-GB-49,Microalgae,Dry,Garfield Bight,Alligator Creek System,Garfield Bight,,Bay,-16.64,3.44,5.7,0.74,7.702702703,-1,0.74,2.1972,-80.80514128,25.15227513
50,12/1/21-ALG-SP-50#2,Microalgae,Wet,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-25.81,3.51,8.04,0.9,8.933333333,-5.4,1.02,0.3751,-80.73687793,25.20414118
50,5/11/22-ALG-SP-50,Microalgae,Dry,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-25.35,3.93,6.63,0.63,10.52380952,-5,0.88,0.5777,-80.73687793,25.20414118
51,11/10/21-ALG-SP-51,Microalgae,Wet,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-25.32,3.19,7.98,0.86,9.279069767,NA,NA,0.5529,-80.72993683,25.19990408
51,5/11/22-ALG-SP-51,Microalgae,Dry,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-24.76,2.79,6.67,0.8,8.3375,NA,NA,1.0906,-80.72993683,25.19990408
52,12/1/21-ALG-SP-52#2,Microalgae,Wet,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-25.74,3.46,7.86,0.91,8.637362637,NA,NA,0.2349,-80.73938668,25.19997169
52,5/11/22-ALG-SP-52,Microalgae,Dry,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-25.14,2.92,6.52,0.77,8.467532468,NA,NA,0.4767,-80.73938668,25.19997169
53,11/10/21-ALG-SP-53,Microalgae,Wet,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-25.57,3.83,8.14,0.85,9.576470588,-2.1,1.53,0.7407,-80.74542021,25.19681667
53,5/11/22-ALG-SP-53,Microalgae,Dry,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-25.05,2.99,6.47,0.78,8.294871795,-7.1,0.76,0.3749,-80.74542021,25.19681667
54,11/10/21-ALG-SP-54,Microalgae,Wet,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-25.82,3.42,6.68,0.57,11.71929825,NA,NA,0.0179,-80.73802384,25.19591601
