Site,Code,Species,Season,Lake,System,System2,Strata,Zone,d13C,d15N,C,N,C.N,d34S,S,Biomass,Latitude,Longitude
40,5/9/22-ALG-LU-40,Microalgae,Dry,The Lungs,Alligator Creek System,Alligator Creek System,,Downstream,-22.65,2.55,7.25,1.02,7.107843137,-1.1,1.01,5.6363,-80.77512156,25.17457251
41,5/9/22-ALG-LU-41,Microalgae,Dry,The Lungs,Alligator Creek System,Alligator Creek System,,Downstream,-22.8,2.34,5.56,0.84,6.619047619,3.5,0.91,0.9719,-80.76455375,25.17288717
42,5/4/22-ALG-LU-42,Microalgae,Dry,The Lungs,Alligator Creek System,Alligator Creek System,,Downstream,-22.47,2.33,4.82,0.75,6.426666667,0.5,0.77,0.3613,-80.76938104,25.1705475
43,5/4/22-ALG-GB-43,Microalgae,Dry,Garfield Bight,Alligator Creek System,Garfield Bight,,Bay,-18.89,2.74,4.53,0.62,7.306451613,NA,NA,5.6828,-80.79588681,25.17547484
44,5/4/22-ALG-GB-44,Microalgae,Dry,Garfield Bight,Alligator Creek System,Garfield Bight,,Bay,-17.94,2.44,4.32,0.59,7.322033898,1.5,1.04,7.6393,-80.80391179,25.17568679
45,5/11/22-ALG-GB-45,Microalgae,Dry,Garfield Bight,Alligator Creek System,Garfield Bight,,Bay,-16.3,3.98,7.04,0.95,7.410526316,NA,NA,6.1039,-80.79908454,25.16861982
46,5/11/22-ALG-GB-46,Microalgae,Dry,Garfield Bight,Alligator Creek System,Garfield Bight,,Bay,-15.55,3.14,8.18,0.91,8.989010989,NA,NA,2.515,-80.80958331,25.16508427
47,5/11/22-ALG-GB-47,Microalgae,Dry,Garfield Bight,Alligator Creek System,Garfield Bight,,Bay,-16.69,2.95,6.51,0.78,8.346153846,2.4,0.89,19.5914,-80.81103676,25.16067739
48,5/11/22-ALG-GB-48,Microalgae,Dry,Garfield Bight,Alligator Creek System,Garfield Bight,,Bay,-16.6,3.04,5.24,0.69,7.594202899,NA,NA,8.02,-80.81293645,25.15865979
49,5/11/22-ALG-GB-49,Microalgae,Dry,Garfield Bight,Alligator Creek System,Garfield Bight,,Bay,-16.64,3.44,5.7,0.74,7.702702703,-1,0.74,2.1972,-80.80514128,25.15227513
50,5/11/22-ALG-SP-50,Microalgae,Dry,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-25.35,3.93,6.63,0.63,10.52380952,-5,0.88,0.5777,-80.73687793,25.20414118
51,5/11/22-ALG-SP-51,Microalgae,Dry,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-24.76,2.79,6.67,0.8,8.3375,NA,NA,1.0906,-80.72993683,25.19990408
52,5/11/22-ALG-SP-52,Microalgae,Dry,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-25.14,2.92,6.52,0.77,8.467532468,NA,NA,0.4767,-80.73938668,25.19997169
53,5/11/22-ALG-SP-53,Microalgae,Dry,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-25.05,2.99,6.47,0.78,8.294871795,-7.1,0.76,0.3749,-80.74542021,25.19681667
54,5/11/22-ALG-SP-54,Microalgae,Dry,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-24.68,2.83,7.11,0.83,8.56626506,NA,NA,0.9866,-80.73802384,25.19591601
55,5/11/22-ALG-SP-55,Microalgae,Dry,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-24.02,2.66,8.94,1.03,8.67961165,NA,NA,0.082,-80.72504,25.19203
56,5/11/22-ALG-SP-56,Microalgae,Dry,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-23.67,2.13,8.79,1.05,8.371428571,NA,NA,0.9572,-80.71842331,25.19179218
57,5/11/22-ALG-SP-57,Microalgae,Dry,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-22.36,1.64,10.69,1.15,9.295652174,4.3,1.38,2.2562,-80.71606,25.18531
58,5/11/22-ALG-SP-58,Microalgae,Dry,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-22.49,2.35,6.26,0.66,9.484848485,NA,NA,0.849,-80.72261906,25.18323729
59,5/11/22-ALG-SP-59,Microalgae,Dry,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-22.63,1.91,11.26,1.35,8.340740741,NA,NA,0.9593,-80.72021055,25.17577527
60,5/11/22-ALG-MI-60,Microalgae,Dry,Middle Lake,McCormick Creek System,McCormick Creek System,,Middle,-22.68,2.04,7.8,0.91,8.571428571,-7.1,1.44,2.1953,-80.72674626,25.17540026
61,5/11/22-ALG-MI-61,Microalgae,Dry,Middle Lake,McCormick Creek System,McCormick Creek System,,Middle,-22.14,2.42,8.32,1.05,7.923809524,-4.6,1.49,0.6077,-80.73227537,25.1825992
62,5/11/22-ALG-MI-62,Microalgae,Dry,Middle Lake,McCormick Creek System,McCormick Creek System,,Middle,-22.79,2.85,5.45,0.76,7.171052632,-10.9,1.48,0.7489,-80.73329107,25.17902417
63,5/11/22-ALG-MO-63,Microalgae,Dry,Monroe Lake,McCormick Creek System,McCormick Creek System,,Downstream,-21.7,1.72,9.19,1.41,6.517730496,-3.1,1.19,1.1896,-80.74303961,25.18166491
64,5/11/22-ALG-MO-64,Microalgae,Dry,Monroe Lake,McCormick Creek System,McCormick Creek System,,Downstream,-21.89,2.06,5.76,0.93,6.193548387,-2,0.92,0.3472,-80.74646378,25.17579064
65,5/11/22-ALG-MO-65,Microalgae,Dry,Monroe Lake,McCormick Creek System,McCormick Creek System,,Downstream,-20.1,2.29,8.13,0.87,9.344827586,2,1.36,1.9283,-80.74134466,25.16976624
66,5/11/22-ALG-TB-66,Microalgae,Dry,Terrapin Bay,McCormick Creek System,Terrapin Bay,,Bay,-19.38,4.72,4.42,0.54,8.185185185,-9.9,0.84,6.5265,-80.72487618,25.16202773
